"Fixed-point accuracy study",,,,,,,,,,,,,,,
"Clip #","Ground truth",TensorFlow,"N_STO = 8","N_STO = 9","N_STO = 10","N_STO = 11","N_STO = 12","N_STO = 13","N_STO = 14","N_STO = 15","N_STO = 16","N_STO = 17","N_STO = 18","N_STO = 19","N_STO = 20"
